0 0 0.75506 0 0 0 0 0 0.05
0.00610164 0.00568558 0.745139 0 0 0.0609544 0.0567981 -0.0991147 0.150102
0.0262446 0.0236356 0.707563 0 0 0.201263 0.179352 -0.375442 0.250185
0.0510233 0.0433608 0.631566 0 0 0.247367 0.196917 -0.758682 0.350354
0.06766 0.0547278 0.566461 0 0 0.166215 0.113566 -0.650461 0.450446
0.0926423 0.0690092 0.47218 0 0 0.249605 0.142689 -0.941982 0.550533
0.113544 0.0787078 0.396695 0 0 0.208818 0.096892 -0.754118 0.65063
0.141704 0.0889039 0.298432 0 0 0.281342 0.101871 -0.981763 0.750719
0.167976 0.0957302 0.21039 0 0 0.262483 0.0681982 -0.879587 0.850813
0.194043 0.100149 0.125011 0 0 0.260445 0.0441473 -0.85307 0.950898
0.226649 0.102548 0.0223013 0.10605 -0.10605 0.325762 0.0239741 -1.02615 1.05099
0.259349 0.101628 -0.0782154 0.10605 -0.10605 0.326717 -0.00919386 -1.0043 1.15108
0.2935 0.0971496 -0.182571 0.10605 -0.10605 0.340847 -0.0446985 -1.04153 1.25127
0.324776 0.0898335 -0.27604 0.10605 -0.10605 0.312492 -0.0730972 -0.93388 1.35136
0.350978 0.0812488 -0.355237 0.10605 -0.10605 0.261845 -0.0857903 -0.791448 1.45142
0.370155 0.0735176 -0.411106 0.10605 -0.10605 0.191598 -0.0772433 -0.558188 1.55151
0.403729 0.0568898 -0.50594 0.2121 -0.2121 0.335453 -0.166138 -0.947542 1.6516
0.438856 0.0351596 -0.602036 0.2121 -0.2121 0.350978 -0.217117 -0.96015 1.75168
0.455598 0.0230539 -0.650087 0.2121 -0.2121 0.167266 -0.12095 -0.480084 1.85177
0.493037 -0.00892928 -0.761651 0.2121 -0.2121 0.373431 -0.319013 -1.11278 1.95203
0.522092 -0.0388745 -0.837997 0.31815 -0.31815 0.290106 -0.298989 -0.762275 2.05218
0.564874 -0.0914833 -0.934417 0.31815 -0.31815 0.427433 -0.525619 -0.963338 2.15227
0.607978 -0.156692 -1.03919 0.4242 -0.4242 0.430676 -0.651534 -1.04684 2.25236
